label,y,x,area,mean_intensity,max_intensity,median_intensity,fold_change,is_positive,background_value
577,2188.3492063492063,707.3333333333334,189.0,44.560848236083984,153.0,41.0,1.0956694202163133,False,40.669975
578,2201.0763723150358,698.5513126491646,419.0,48.98090744018555,191.0,45.0,1.2043505584168668,False,40.669975
579,2223.811636668062,1284.4372122226873,4778.0,99.1312255859375,4095.0,48.0,2.4374547784106952,True,40.669975
580,2199.1724137931033,1426.801724137931,116.0,37.181034088134766,128.0,33.5,0.9142133436634435,False,40.669975
581,2202.0731707317073,936.5731707317074,82.0,35.82926940917969,99.0,31.0,0.880975932781748,False,40.669975
582,2203.19375,1505.9625,160.0,36.34375,141.0,35.0,0.8936260656443484,False,40.669975
583,2191.7636324136433,1212.0493156636976,4603.0,51.81316375732422,2702.0,47.0,1.2739905396951055,False,40.669975
584,2217.3271767810024,1385.7994722955145,379.0,40.862796783447266,128.0,37.0,1.0047411266260777,False,40.669975
585,2217.5636363636363,921.9818181818182,55.0,38.727272033691406,93.0,34.0,0.9522324950123764,False,40.669975
586,2215.4442424242425,1107.7218181818182,1650.0,46.5157585144043,606.0,42.0,1.1437370736836379,False,40.669975
589,2221.345794392523,788.8785046728972,107.0,47.962615966796875,130.0,48.0,1.1793126412222046,False,40.669975
590,2223.030612244898,1513.7285714285715,490.0,35.67142868041992,120.0,32.0,0.8770949191428135,False,40.669975
591,2230.733333333333,714.1481481481482,135.0,45.69629669189453,145.0,42.0,1.1235880124449062,False,40.669975
592,2231.4611650485435,830.8058252427185,206.0,45.65048599243164,133.0,44.0,1.1224616114784283,False,40.669975
593,2232.27577092511,1132.2334801762115,1135.0,47.03700256347656,180.0,43.0,1.1565535075632727,False,40.669975
595,2229.799076212471,1336.8221709006928,433.0,47.494224548339844,168.0,43.0,1.1677957564632755,False,40.669975
596,2229.012987012987,1201.6513798701299,2464.0,59.15259552001953,2004.0,47.0,1.454453687558564,False,40.669975
597,2234.7901861252117,1497.8663282571913,591.0,32.50253677368164,143.0,29.0,0.7991776869620191,False,40.669975
598,2238.04,1441.024,125.0,32.24800109863281,106.0,30.0,0.7929191221782526,False,40.669975
599,2236.7735849056603,949.7358490566038,53.0,797.132080078125,4095.0,74.0,19.600013881867188,True,40.669975
600,2237.136612021858,1417.0054644808743,183.0,175.90164184570312,1119.0,72.0,4.325098322076202,True,40.669975
601,2243.5689440993788,1355.1453416149068,805.0,45.469566345214844,178.0,42.0,1.1180131296200588,False,40.669975
602,2240.419117647059,1081.3970588235295,136.0,40.963233947753906,114.0,34.5,1.007210692039218,False,40.669975
603,2239.7710843373493,1377.5180722891566,83.0,44.67469787597656,133.0,40.0,1.098468773771525,False,40.669975
604,2241.6466666666665,861.6666666666666,150.0,42.2400016784668,125.0,38.0,1.0386040656987503,False,40.669975
605,2244.256554307116,1176.3300561797753,2136.0,50.42228317260742,210.0,46.0,1.2397913405287677,False,40.669975
606,2248.603773584906,844.0943396226415,53.0,38.39622497558594,100.0,37.0,0.9440926558356837,False,40.669975
607,2250.1724137931033,732.1551724137931,58.0,49.534481048583984,169.0,48.5,1.2179619167857099,False,40.669975
608,2249.597222222222,834.0833333333334,72.0,48.15277862548828,163.0,42.0,1.1839883917575476,False,40.669975
609,2250.132075471698,1432.4056603773586,106.0,37.70754623413086,98.0,36.0,0.9271593103713494,False,40.669975
610,2249.0185185185187,1470.4444444444443,378.0,26.063491821289062,74.0,24.0,0.64085339716491,False,40.669975
611,2257.705882352941,860.5294117647059,51.0,37.47058868408203,114.0,28.0,0.9213329593983524,False,40.669975
613,2258.3563218390805,1498.7931034482758,87.0,28.44827651977539,90.0,26.0,0.6994908731413071,False,40.669975
614,2260.753623188406,1400.4492753623188,69.0,40.20289993286133,140.0,39.0,0.9885154749990386,False,40.669975
615,2260.3090128755366,1263.519313304721,233.0,49.167381286621094,165.0,47.0,1.2089356078335,False,40.669975
616,2259.484674329502,1102.5019157088122,522.0,46.54789352416992,187.0,42.0,1.144527214556451,False,40.669975
618,2269.561403508772,1779.5263157894738,171.0,45.83625793457031,156.0,41.0,1.1270294023574787,False,40.669975
619,2269.2065217391305,893.6195652173913,92.0,37.59782791137695,102.0,33.5,0.9244615383172363,False,40.669975
620,2269.1,1017.72,50.0,31.780000686645508,76.0,32.5,0.7814118515503138,False,40.669975
621,2270.3416666666667,1477.2166666666667,120.0,27.008333206176758,60.0,26.5,0.664085311577571,False,40.669975
622,2270.842105263158,1822.4561403508771,57.0,41.24561309814453,134.0,37.0,1.0141538767459028,False,40.669975
623,2270.0588235294117,760.2941176470588,51.0,48.66666793823242,126.0,42.0,1.1966239861781625,False,40.669975
624,2267.025,786.295,200.0,47.334999084472656,143.0,42.0,1.1638806947311748,False,40.669975
625,2273.769230769231,1520.482905982906,702.0,36.990028381347656,124.0,34.0,0.9095168641237212,False,40.669975
627,2272.4205607476633,1315.271028037383,321.0,169.0841064453125,3295.0,50.0,4.157467647276762,True,40.669975
628,2275.0491803278687,1391.672131147541,61.0,40.540985107421875,108.0,38.0,0.9968283685335589,False,40.669975
629,2277.8499095840866,803.8607594936709,553.0,45.73417663574219,156.0,42.0,1.1245194106959786,False,40.669975
631,2275.0081967213114,1763.9590163934427,122.0,44.540985107421875,120.0,42.5,1.0951810223619998,False,40.669975
632,2279.3076923076924,873.0615384615385,65.0,38.81538391113281,129.0,33.0,0.9543990042574186,False,40.669975
634,2278.811320754717,1500.8059299191375,371.0,33.274932861328125,104.0,30.0,0.8181694882187032,False,40.669975
635,2281.152366863905,1359.7307692307693,676.0,54.550296783447266,1001.0,41.5,1.3412916139452735,False,40.669975
